Index,attribute,Name,trading_symbol,Weightage (%)
Nifty50,NSE_EQ,Adani Enterprises Ltd,ADANIENT,0.0062
Nifty50,NSE_EQ,Adani Ports and Special Economic Zone Ltd,ADANIPORTS,0.0098
Nifty50,NSE_EQ,Apollo Hospitals Enterprise Ltd,APOLLOHOSP,0.0066
Nifty Midcap Select,NSE_EQ,Ashok Leyland Ltd.,ASHOKLEY,0.0402
SENSEX,BSE_EQ,Asian Paints Ltd,ASIANPAINT,0.0115
Nifty50,NSE_EQ,Asian Paints Ltd,ASIANPAINT,0.009
Nifty Midcap Select,NSE_EQ,Astral Ltd.,ASTRAL,0.0323
BankNifty,NSE_EQ,AU Small Finance Bank Ltd.,AUBANK,0.0141
Nifty Midcap Select,NSE_EQ,AU Small Finance Bank Ltd.,AUBANK,0.0453
Nifty Midcap Select,NSE_EQ,Aurobindo Pharma Ltd.,AUROPHARMA,0.0416
FINNIFTY,NSE_EQ,Axis Bank Ltd.,AXISBANK,0.0543
SENSEX,BSE_EQ,Axis Bank Ltd.,AXISBANK,0.0338
Nifty50,NSE_EQ,Axis Bank Ltd.,AXISBANK,0.0291
BANKEX,BSE_EQ,Axis Bank Ltd.,AXISBANK,0.0782
BankNifty,NSE_EQ,Axis Bank Ltd.,AXISBANK,0.0854
Nifty50,NSE_EQ,Bajaj Auto Limited,BAJAJ-AUTO,0.0096
FINNIFTY,NSE_EQ,Bajaj Finance,BAJFINANCE,0.0914
SENSEX,BSE_EQ,Bajaj Finance,BAJFINANCE,0.0225
Nifty50,NSE_EQ,Bajaj Finance,BAJFINANCE,0.0188
FINNIFTY,NSE_EQ,Bajaj Finserv,BAJAJFINSV,0.0515
SENSEX,BSE_EQ,Bajaj Finserv,BAJAJFINSV,0.0101
Nifty50,NSE_EQ,Bajaj Finserv Ltd,BAJAJFINSV,0.0091
BankNifty,NSE_EQ,Bank of Baroda,BANKBARODA,0.0319
BANKEX,BSE_EQ,Bank of Baroda,BANKBARODA,0.0307
Nifty50,NSE_EQ,Bharat Electronics Ltd,BEL,0.0096
Nifty Midcap Select,NSE_EQ,Bharat Forge Ltd.,BHARATFORG,0.0496
Nifty50,NSE_EQ,Bharat Petroleum Corporation Ltd,BPCL,0.0053
SENSEX,BSE_EQ,Bharti Airtel Ltd,BHARTIARTL,0.0468
Nifty50,NSE_EQ,Bharti Airtel Ltd,BHARTIARTL,0.0406
Nifty50,NSE_EQ,Britannia Industries Ltd,BRITANNIA,0.0056
BANKEX,BSE_EQ,Canara Bank Ltd.,CANBK,0.0234
BankNifty,NSE_EQ,Canara Bank Ltd.,CANBK,0.0201
